word,weight
entry,0.1733200429440888
detection,-0.14502216172104596
value,0.1441196865206966
modify,-0.06818160770300598
request,-0.06302918525128297
given,-0.05998989697642824
update,-0.05155074284407009
updated,-0.04893197622117757
means,0.04110845616375196
data,0.032044819659328753
setting,0.3191272170626159
items,0.31223003087220397
notification,-0.12446819449201701
value,0.10978003149813818
print,-0.0682830115148262
application,-0.06030520646784039
plurality,0.05983827889457409
values,0.056669890794115246
controlling,-0.04101188031846525
printing,-0.03191849327637723
power,-0.19986295391927972
node,-0.19366150720721134
measurement,0.09111141517383736
second,-0.04391906064104029
estimation,0.03504566731234394
select,0.031941503770690736
network,-0.02733191285283012
method,0.02645792748488957
said,0.020315999279608588
indication,-0.019581911494230872
telephone,-0.295350734466874
mobile,-0.16582549585667566
number,0.15838384161644284
payment,0.11881881139297544
request,0.10175531313970503
second,-0.08484722377812191
common,0.03137931343447817
phone,-0.027064200203472374
format,0.023409360252102704
converters,0.020091298737582183
guiding,0.2789034310357071
portion,-0.05572476442108915
second,-0.04465310720892203
circuit,-0.04162900607809518
printed,-0.02620338496928521
push,0.023249233892753626
disposed,-0.019971262265266958
board,-0.01895213037352091
connected,-0.013494809303708884
driving,0.009982322001400782
content,-0.17755516220245282
object,-0.13840380594049612
answer,0.11007073074366218
objects,-0.07194875919975244
portions,-0.0456551704748153
portion,-0.04410504351414896
quality,0.028856870069533375
assessment,0.02038921002375197
indicated,-0.019214827608860237
student,0.01653505882829507
structure,-0.0878955082455452
controller,-0.06864297425343939
data,-0.057006001795806276
radio,-0.05515295593146046
second,-0.05256773744035335
value,0.05023468090161128
station,-0.03374522458915624
values,0.026738666009090566
flow,0.019164550421055856
entity,0.015567360317151604
operational,-0.13466788150523049
device,-0.057747185113369494
cross,0.02497857186857909
applications,-0.023518346695984124
restrictions,0.022453954623992682
user,-0.018456385147249583
limitations,-0.017140748622080898
permission,0.015294367280782015
control,-0.014548312410466717
access,-0.013650217187156526
image,-0.09847037481836317
signal,-0.025803043971090133
second,-0.023498548513400504
control,-0.022467287927177112
processing,0.020508715138053617
unit,0.018941529953294664
identification,-0.017057666554115076
address,-0.012172572462531532
data,-0.011376359631313494
units,0.004374619835474688
policy,0.16471705579389603
digital,-0.14956277877024857
signature,-0.09787921336873019
object,-0.049264614116087194
domain,0.03785979955001451
backup,0.03379473570492834
objects,-0.026171996486767456
domains,0.023314278564445023
policies,0.01651968980949612
values,0.016281482587471308
message,-0.1667025603947557
broadcast,-0.1256661510297301
segments,0.06423137762683778
means,0.03553776145209397
second,-0.03117854822060144
previously,-0.01840772969945588
messages,-0.012298588025622132
identified,-0.010971471859433457
terminating,-0.010854164646625761
based,0.010796432479546054
second,-0.15201994408269423
cell,0.07238179057115747
configured,-0.030997513140619947
broadcast,-0.02900095548871263
information,0.028419783475727694
received,0.02772332478437877
wireless,-0.02662963328292339
difference,-0.025833176127426857
different,-0.022674175115925874
receiver,0.016406818359846198
digital,-0.07372860928207783
object,-0.06378043834768839
indicia,0.02652006691047377
linked,-0.01949506220257183
objects,-0.016313646174318092
electronic,-0.013647792711267799
time,-0.009912032395598364
coordinate,0.009705046052450829
displayed,-0.008300073689076664
indicative,-0.007781172530498819
nodes,-0.2153044964534516
node,-0.17675565569579021
cumulative,0.03701373677400457
value,0.03458832511559151
packet,-0.021342535657861927
communication,-0.016828128318532958
respective,-0.01596828557778301
number,0.015532653841315344
route,0.011468974361128082
detecting,-0.011263875766522671
application,-0.07420902415196849
reception,0.0694154774237601
notification,-0.04842348916041678
data,-0.03129882515860118
unit,0.026968033644002725
broadcasting,-0.025752123838815488
signal,-0.021998616217681958
terminal,-0.021682700328559637
control,-0.021459980565624308
output,0.016807498637754464
print,-0.3505699939595744
job,0.20019312707425846
home,-0.039395694408046675
enterprise,0.03658613488884562
connection,-0.029244341177678983
server,-0.023068951422876658
metrics,0.021776886956979984
file,0.020017535869903173
private,-0.018549314150180976
printed,-0.01807300968468655
rotational,-0.13845427025087423
module,0.11688158634434327
said,0.052837526490193604
movements,-0.04346388472557151
axis,-0.039163164563172176
working,0.035746059231744856
movement,-0.018097135579288333
cycle,-0.017460527859352985
interval,-0.01573698175067481
data,-0.014113213317488067
signal,-0.06307116772823228
second,-0.04436756226291828
configuration,-0.011187559437511591
operation,-0.010523426006079663
different,-0.007932499984929332
signals,-0.00785940516546707
physical,-0.007662694414525823
communication,-0.007532735340788265
cells,0.006870710162442072
wireless,-0.005994187666823531
application,-0.09650982560029757
controller,-0.09140707823636245
control,-0.06512137007258824
area,0.058690595230323384
network,0.036270504693249
signal,-0.032767212844723725
flag,-0.03213738792275299
chip,0.02412111640481108
