word,mean,count
2n,-0.00652038016477031,1
Movement,-0.02558834457546283,1
Review,0.014104426157109096,1
a,0.005894103045575261,1
acceleration,0.15851548253981215,2
access,-0.04304486435254949,2
accessible,-0.048029156628203715,1
account,0.0747985597788496,2
accumulated,0.03175793142327919,1
action,-0.06792521809404554,1
actions,-0.10442187166595297,1
activities,-0.0358929317008468,2
address,-0.09176633535724289,2
advertisement,-0.10183994318077191,2
advertiser,-0.01628059605766066,1
alternative,-0.0327660760328439,2
amounts,0.03310304356392913,1
angle,-0.07125819854387143,1
answer,0.3298745555407972,1
answers,0.03781358522481754,1
applicant,-0.10387909719881554,1
application,-0.07105655945594003,9
applications,-0.17814855080487543,3
area,-0.10958495631436062,1
arranged,0.01274695161328724,1
art,-0.23557605107675214,1
assembly,-0.04949660376167872,2
asset,0.13031244771206874,3
assets,0.24403506199087507,2
assigned,0.0938603325739516,1
assignment,0.022658304790058047,1
assigns,0.017706538204304147,1
associated,-0.027339501748303456,4
attached,-0.02612007156884049,2
attacking,0.13742675430478654,1
attribute,-0.012103096330526673,1
audio,-0.049228415915349474,1
augmented,0.018967457680022608,1
authenticating,-0.07569434933112597,1
authentication,-0.09040721366471324,2
authority,-0.04944414315764459,1
automated,-0.04049833353274196,1
award,0.033925498423250974,1
based,0.03542916468401009,1
basic,0.15990607489562822,1
battle,0.02253856676093507,1
bet,-0.044287778393879755,1
bid,-0.23374756813831407,1
block,-0.06437466025208288,1
board,-0.07148970315284757,1
body,-0.050495961160894554,3
book,0.12194705240061939,1
browser,-0.043056913984250336,1
business,0.1425748420555046,1
button,-0.02303584794221154,1
buyer,0.15783926611791638,1
calculate,0.02583696147865619,2
calculated,0.05974748156592946,4
calculating,0.12543749870199083,2
calibration,0.02639935685529923,2
camera,-0.012867865337795823,2
canceled,-0.07015531200829278,1
card,0.011195177871400593,5
cards,0.09573774709642577,1
casing,0.2383142762897104,1
casino,-0.019759810869377576,1
category,0.050114515562546535,2
cell,0.0322897507247444,1
cells,0.0708509545331712,1
central,0.013838229123831767,1
certain,0.007074461167413822,1
chance,-0.07967112130857697,1
changed,-0.07058752068683746,1
channel,-0.06485811725399569,3
channels,-0.025375878032745023,2
characteristic,0.013887291148055198,1
characterized,0.028398686638666047,1
choice,0.06189880398863553,1
circuit,-0.051163451530842306,3
claim,-0.06271475039197104,1
clear,-0.03382903129681164,1
client,-0.04600166572525764,5
closed,0.036146900837869346,1
code,0.10602773044471306,2
collecting,0.01729322346501215,1
combined,0.024453531589929932,1
commercials,0.05957795018289753,1
communication,-0.03838476124645222,2
communications,-0.0739325883292735,1
compensated,0.033378099303817764,1
complex,0.02242073843177233,1
compliance,0.0405048275442316,1
component,0.008967886774013074,4
comprising,0.026758026501649847,1
computing,-0.05049101977436541,6
concentration,-0.05909158956057743,1
condition,0.023113385059652606,1
conductor,-0.02015510985144643,1
confidential,-0.13517982747693527,1
configured,-0.03224013150343376,7
confirmation,-0.028414465516473607,1
connected,-0.03796686359631316,1
consumer,-0.04753401758671439,1
container,0.1191851771561297,1
content,-0.22215389630539367,2
control,-0.044577802157471,6
controller,-0.059614076597632015,2
conversion,-0.024424866126809254,1
coordinate,0.043776942892117976,1
correct,0.01423401188819163,1
correction,0.012050358277901399,1
counting,0.04355881307695901,1
counts,0.02246102517253667,1
coupled,-0.033093136365138776,1
created,0.017435838548431906,1
credentials,-0.05610299496473359,1
credit,-0.1864682380962073,4
criteria,0.045924362460702715,1
cumulative,0.023152287339706527,1
current,-0.036639170002565086,3
cycle,-0.14418040540720856,1
daily,0.05141675051042867,1
data,-0.019670040877273746,10
database,0.010648683506711146,3
dealer,0.021741844533419583,1
debit,0.2565367776252183,1
decrypted,-0.06784341629286116,1
decrypting,-0.06130017169198245,1
defining,-0.03265594525971512,1
definitions,0.03745400475847152,1
degree,0.03742285922959756,1
delivery,-0.023870194036089268,1
