word,mean,count
Access,-0.12664520894712336,1
Network,-0.056142093708671584,1
Peak,0.03020386260697148,1
Power,-0.0262607308477097,1
Terminal,-0.0806299732937339,1
a,-0.011267674852387638,1
accepted,0.01185598268544974,1
access,-0.02312207102016892,4
accesses,-0.02618813459619511,1
acknowledgement,0.04504710119197538,1
acquisition,0.03152482440504051,1
action,-0.025233232506387922,1
actions,-0.014214161786259456,1
activities,-0.02939127874433937,1
activity,-0.013574255574686254,1
adaptation,0.013158439320533536,1
adapted,0.01660563898221709,1
additional,0.015492911125388514,1
address,-0.021347981728834405,2
addresses,-0.04490057793530431,1
adjacent,0.005297269913848051,1
affiliated,-0.030093889352924598,1
algorithm,0.05904071662027238,1
aligned,-0.054127891697690104,1
alignment,-0.024258680236006237,1
allocate,0.01280570534370139,1
allocated,0.0410755019675218,1
allocating,0.018097711359343883,1
altered,0.008436620308470848,1
alternative,-0.16542368956034123,1
and,-0.00913004181429346,1
angle,0.018725145385365925,1
animation,0.07057493458937128,1
answer,0.11007073074366218,1
apparatus,0.019382765965084293,2
applicable,-0.04578814892321528,1
application,-0.08581530297805261,13
applications,-0.034323001760231245,2
area,0.005500118586591857,3
areas,-0.08669871540871996,1
arranged,0.02488542827255882,1
assessment,0.02038921002375197,1
assign,0.048715051523087916,1
assigned,0.022794033988553355,1
associated,-0.019855821044249013,2
at,0.0018940059227143334,1
authenticated,-0.04400734850744689,1
authentication,-0.13831878887815158,1
axis,-0.039163164563172176,1
backup,0.03379473570492834,1
based,0.010052624587412386,3
behavior,0.010700816743091401,1
benchmarked,0.01186173717228159,1
binary,0.02996790314607442,2
block,-0.0905399031689562,1
blocks,-0.1502143619033505,1
board,-0.01895213037352091,1
broadcast,-0.07733355325922137,2
broadcasting,-0.025752123838815488,1
buffer,-0.01871935640206515,1
buffers,-0.05675714081837901,1
building,0.008198772645883985,1
business,0.29847503091903216,1
calculate,0.013504980130567792,1
calculated,0.03548253302430545,3
calculating,0.033075261176649655,1
calendar,0.0073032711831274135,1
can,0.009362527391613428,1
candidate,0.018605074600905044,1
capacity,-0.1554526325050844,1
cell,0.04192532693102478,3
cells,0.15580212273559427,3
change,-0.18626976904158044,1
changed,-0.010893153392769356,1
changes,-0.14232211110010798,1
channel,-0.016636714923985427,1
channels,-0.10153363460893715,1
characteristics,0.019145799247778705,1
charges,0.007310793726901168,1
chip,0.06531745822099276,2
circuit,-0.02141135823166576,4
circuitry,-0.04282161487978426,3
classifier,0.061442952086084524,1
client,-0.0396141861638208,5
clock,0.01851676115044181,1
code,0.016070485514282737,1
collecting,0.026139558306808603,1
color,0.04063181277005644,1
command,-0.06968521163370023,2
common,0.03137931343447817,1
communicates,-0.018490649644409766,1
communication,-0.024993190365480242,6
compensation,0.013483513300846411,1
compliance,0.030291656791287834,1
component,0.020369825351445516,2
computing,-0.04961517607176617,5
condition,0.04268395287419432,1
conductive,0.12177669833652607,1
configuration,-0.015140221037614924,2
configurations,-0.017891755852618953,1
configured,-0.020566190927506143,7
connected,-0.01847959870369041,3
connection,-0.04256229238481986,2
connects,-0.009866786460342194,1
consumer,-0.04618792284324714,1
contact,0.020863064719163785,1
content,-0.15533266178054086,7
contents,-0.10042380587720223,1
control,-0.03870531473581507,11
controlled,-0.004657713654520727,1
controller,-0.0530407959747804,6
controlling,-0.04101188031846525,1
